CODOP	Operandos	Addr. Mode	Source Form	Bytes por calcular	Total de Bytes
LBCC	rel16	REL	18 24 qq rr	2	4
LBCS	rel16	REL	18 25 qq rr	2	4
LBEQ	rel16	REL	18 27 qq rr	2	4
LBGE	rel16	REL	18 2C qq rr	2	4
LBGT	rel16	REL	18 2E qq rr	2	4
LBHI	rel16	REL	18 22 qq rr	2	4
LBHS	rel16	REL	18 24 qq rr	2	4
LBLE	rel16	REL	18 2F qq rr	2	4
LBLO	rel16	REL	18 25 qq rr	2	4
LBLS	rel16	REL	18 23 qq rr	2	4
LBLT	rel16	REL	18 2D qq rr	2	4
LBMI	rel16	REL	18 2B qq rr	2	4
LBNE	rel16	REL	18 26 qq rr	2	4
LBPL	rel16	REL	18 2A qq rr	2	4
LBRA	rel16	REL	18 20 qq rr	2	4
LBRN	rel16	REL	18 21 qq rr	2	4
LBVC	rel16	REL	18 28 qq rr	2	4
LBVS	rel16	REL	18 29 qq rr	2	4
LDAA	#opr8i	IMM	86 ii	1	2
LDAA	opr8a	DIR	96 dd	1	2
LDAA	opr16a	EXT	B6 hh ll	2	3
LDAA	oprx0_xysp	IDX	A6 xb	1	2
LDAA	"oprx9,xysp"	IDX1	A6 xb ff	2	3
LDAA	"oprx16,xysp"	IDX2	A6 xb ee ff	3	4
LDAA	"[D,xysp]"	"[D,IDX]"	A6 xb	1	2
LDAA	"[oprx16,xysp]"	[IDX2]	A6 xb ee ff	3	4
LDAB	#opr8i	IMM	C6 ii	1	2
LDAB	opr8a	DIR	D6 dd	1	2
LDAB	opr16a	EXT	F6 hh ll	2	3
LDAB	oprx0_xysp	IDX	E6 xb	1	2
LDAB	"oprx9,xysp"	IDX1	E6 xb ff	2	3
LDAB	"oprx16,xysp"	IDX2	E6 xb ee ff	3	4
LDAB	"[D,xysp]"	"[D,IDX]"	E6 xb	1	2
LDAB	"[oprx16,xysp]"	[IDX2]	E6 xb ee ff	3	4
LDD	#opr16i	IMM	CC jj kk	2	3
LDD	opr8a	DIR	DC dd	1	2
LDD	opr16a	EXT	FC hh ll	2	3
LDD	oprx0_xysp	IDX	EC xb	1	2
LDD	"oprx9,xysp"	IDX1	EC xb ff	2	3
LDD	"oprx16,xysp"	IDX2	EC xb ee ff	3	4
LDD	"[D,xysp]"	"[D,IDX]"	EC xb	1	2
LDD	"[oprx16,xysp]"	[IDX2]	EC xb ee ff	3	4
LDS	#opr16i	IMM	CF jj kk	2	3
LDS	opr8a	DIR	DF dd	1	2
LDS	opr16a	EXT	FF hh ll	2	3
LDS	oprx0_xysp	IDX	EF xb	1	2
LDS	"oprx9,xysp"	IDX1	EF xb ff	2	3
LDS	"oprx16,xysp"	IDX2	EF xb ee ff	3	4
LDS	"[D,xysp]"	"[D,IDX]"	EF xb	1	2
LDS	"[oprx16,xysp]"	[IDX2]	EF xb ee ff	3	4
LDX	#opr16i	IMM	CE jj kk	2	3
LDX	opr8a	DIR	DE dd	1	2
LDX	opr16a	EXT	FE hh ll	2	3
LDX	oprx0_xysp	IDX	EE xb	1	2
LDX	"oprx9,xysp"	IDX1	EE xb ff	2	3
LDX	"oprx16,xysp"	IDX2	EE xb ee ff	3	4
LDX	"[D,xysp]"	"[D,IDX]"	EE xb	1	2
LDX	"[oprx16,xysp]"	[IDX2]	EE xb ee ff	3	4
LDY	#opr16i	IMM	CD jj kk	2	3
LDY	opr8a	DIR	DD dd	1	2
LDY	opr16a	EXT	FD hh ll	2	3
LDY	oprx0_xysp	IDX	ED xb	1	2
LDY	"oprx9,xysp"	IDX1	ED xb ff	2	3
LDY	"oprx16,xysp"	IDX2	ED xb ee ff	3	4
LDY	"[D,xysp]"	"[D,IDX]"	ED xb	1	2
LDY	"[oprx16,xysp]"	[IDX2]	ED xb ee ff	3	4
LEAS	oprx0_xysp	IDX	1B xb	1	2
LEAS	"oprx9,xysp"	IDX1	1B xb ff	2	3
LEAS	"oprx16,xysp"	IDX2	1B xb ee ff	3	4
LEAX	oprx0_xysp	IDX	1A xb	1	2
LEAX	"oprx9,xysp"	IDX1	1A xb ff	2	3
LEAX	"oprx16,xysp"	IDX2	1A xb ee ff	3	4
LEAY	oprx0_xysp	IDX	19 xb	1	2
LEAY	"oprx9,xysp"	IDX1	19 xb ff	2	3
LEAY	"oprx16,xysp"	IDX2	19 xb ee ff	3	4
LSL	opr16a	EXT	78 hh ll	2	3
LSL	oprx0_xysp	IDX	68 xb	1	2
LSL	"oprx9,xysp"	IDX1	68 xb ff	2	3
LSL	"oprx16,xysp"	IDX2	68 xb ee ff	3	4
LSL	"[D,xysp]"	"[D,IDX]"	68 xb	1	2
LSL	"[oprx16,xysp]"	[IDX2]	68 xb ee ff	3	4
LSLA	-	INH	48	0	1
LSLB	-	INH	58	0	1
LSLD	-	INH	59	0	1
LSR	opr16a	EXT	74 hh ll	2	3
LSR	oprx0_xysp	IDX	64 xb	1	2
LSR	"oprx9,xysp"	IDX1	64 xb ff	2	3
LSR	"oprx16,xysp"	IDX2	64 xb ee ff	3	4
LSR	"[D,xysp]"	"[D,IDX]"	64 xb	1	2
LSR	"[oprx16,xysp]"	[IDX2]	64 xb ee ff	3	4
LSRA	-	INH	44	0	1
LSRB	-	INH	54	0	1
LSRD	-	INH	49	0	1
MAXA	oprx0_xysp	IDX	18 18 xb	1	3
MAXA	"oprx9,xysp"	IDX1	18 18 xb ff	2	4
MAXA	"oprx16,xysp"	IDX2	18 18 xb ee ff	3	5
MAXA	"[D,xysp]"	"[D,IDX]"	18 18 xb	1	3
MAXA	"[oprx16,xysp]"	[IDX2]	18 18 xb ee ff	3	5
MAXM	oprx0_xysp	IDX	18 1C xb	1	3
MAXM	"oprx9,xysp"	IDX1	18 1C xb ff	2	4
MAXM	"oprx16,xysp"	IDX2	18 1C xb ee ff	3	5
MAXM	"[D,xysp]"	"[D,IDX]"	18 1C xb	1	3
MAXM	"[oprx16,xysp"	[IDX2]	18 1C xb ee ff	3	5
MEM	-	Special	01	0	1
MINA	oprx0_xysp	IDX	18 19 xb	1	3
MINA	"oprx9,xysp"	IDX1	18 19 xb ff	2	4
MINA	"oprx16,xysp"	IDX2	18 19 xb ee ff	3	5
MINA	"[D,xysp]"	"[D,IDX]"	18 19 xb	1	3
MINA	"[oprx16,xysp]MI"	[IDX2]	18 19 xb ee ff	3	5
MINM	oprx0_xysp	IDX	18 1D xb	1	3
MINM	"oprx9,xysp"	IDX1	18 1D xb ff	2	4
MINM	"oprx16,xysp"	IDX2	18 1D xb ee ff	3	5
MINM	"[D,xysp]"	"[D,IDX]"	18 1D xb	1	3
MINM	"[oprx16,xysp"	[IDX2]	18 1D xb ee ff	3	5
MOVB	"#opr8, opr16a"	IMM-EXT	18 0B ii hh ll	3	5
MOVB	"#opr8i, oprx0_xysp"	IMM-IDX	18 08 xb ii	2	4
MOVB	"opr16a, opr16a"	EXT-EXT	18 0C hh ll hh ll	4	6
MOVB	"opr16a, oprx0_xysp"	EXT-IDX	18 09 xb hh ll	3	5
MOVB	"oprx0_xysp, opr16a"	IDX-EXT	18 0D xb hh ll	3	5
MOVB	"oprx0_xysp, oprx0_xysp"	IDX-IDX	18 0A xb xb	2	4
MOVW	"#oprx16, opr16a"	IMM-EXT	18 03 jj kk hh ll	4	6
MOVW	"#opr16i, oprx0_xysp"	IMM-IDX	18 00 xb jj kk	3	5
MOVW	"opr16a, opr16a"	EXT-EXT	18 04 hh ll hh ll	4	6
MOVW	"opr16a, oprx0_xysp"	EXT-IDX	18 01 xb hh ll	3	5
MOVW	"oprx0_xysp, opr16a"	IDX-EXT	18 05 xb hh ll	3	5
MOVW	"oprx0_xysp, oprx0_xysp"	IDX-IDX	18 02 xb xb	2	4
MUL	-	INH	12	0	1
NEG	opr16a	EXT	70 hh ll	2	3
NEG	oprx0_xysp	IDX	60 xb	1	2
NEG	"oprx9,xysp"	IDX1	60 xb ff	2	3
NEG	"oprx16,xysp"	IDX2	60 xb ee ff	3	4
NEG	"[D,xysp]"	"[D,IDX]"	60 xb	1	2
NEG	"[oprx16,xysp]"	[IDX2]	60 xb ee ff	3	4
NEGA	-	INH	40	0	1
NEGB	-	INH	50	0	1
NOP	-	INH	A7	0	1
ORAA	#opr8i	IMM	8A ii	1	2
ORAA	opr8a	DIR	9A dd	1	2
ORAA	opr16a	EXT	BA hh ll	2	3
ORAA	oprx0_xysp	IDX	AA xb	1	2
ORAA	"oprx9,xysp"	IDX1	AA xb ff	2	3
ORAA	"oprx16,xysp"	IDX2	AA xb ee ff	3	4
ORAA	"[D,xysp]"	"[D,IDX]"	AA xb	1	2
ORAA	"[oprx16,xysp]"	[IDX2]	AA xb ee ff	3	4
ORAB	#opr8i	IMM	CA ii	1	2
ORAB	opr8a	DIR	DA dd	1	2
ORAB	opr16a	EXT	FA hh ll	2	3
ORAB	oprx0_xysp	IDX	EA xb	1	2
ORAB	"oprx9,xysp"	IDX1	EA xb ff	2	3
ORAB	"oprx16,xysp"	IDX2	EA xb ee ff	3	4
ORAB	"[D,xysp]"	"[D,IDX]"	EA xb	1	2
ORAB	"[oprx16,xysp]"	[IDX2]	EA xb ee ff	3	4
ORCC	  #opr8i	IMM	14 ii 	1	2
PSHA	-	INH	36	0	1
PSHB	-	INH	37	0	1
PSHC	-	INH	39	0	1
PSHD	-	INH	3B	1	1
PSHX	-	INH	34	0	1
PSHY	-	INH	35	0	1
PULA	-	INH	32	0	1
PULB	-	INH	33	0	1
PULC	-	INH	38	0	1
PULD	-	INH	3A	0	1
PULX	-	INH	30	0	1
PULY	-	INH	31	0	1
REV	-	SPECIAL	18 3A	0	2
REVW	-	SPECIAL	18 3B	0	2
ROL	opr16a	EXT	75 hh ll 	2	3
ROL	oprx0_xysp	IDX	65 xb	1	2
ROL	"oprx9,xysp"	IDX1	65 xb ff	2	3
ROL	"oprx16,xysp"	IDX2	65 xb ee ff	3	4
ROL	"[D,xysp]"	"[D,IDX]"	65 xb	1	2
ROL	"[oprx16,xysp]"	[IDX2]	65 xb ee ff	3	4
ROLA	-	INH	45	0	1
ROLB	-	INH	55	0	1
ROR	opr16a	EXT	76 hh ll	2	3
ROR	oprx0_xysp	IDX	66 xb	1	2
ROR	"oprx9,xysp"	IDX1	66 xb ff	2	3
ROR	"oprx16,xysp"	IDX2	66 xb ee ff	3	4
ROR	"[D,xysp]"	"[D,IDX]"	66 xb	1	2
ROR	"[oprx16,xysp]"	[IDX2]	66 xb ee ff	3	4
RORA	-	INH	46	0	1
RORB	-	INH	56	0	1
RTC	-	INH	0A	0	1
RTI	-	INH	0B	0	1
RTS	-	INH	3D	0	1
SBA	-	INH	18 16	0	2
SBCB	 #opr8i	IMM	C2 ii	1	2
SBCB	 opr8a	DIR	D2 dd	1	2
SBCB	 opr16a	EXT	F2 hh ll	2	3
SBCB	 oprx0_xysp	IDX	E2 xb	1	2
